part_nr;participant_name;date_and_time;time_on_screen;time_since_last_pop;xyY(x);xyY(y);xyY(Y);P3_R;P3_G;P3_B;base_P3_x;base_P3_y;base_P3_Y;base_P3_R;base_P3_G;base_P3_B;differentiated?;distance_to_base_xyY;distamce_to_base_P3;lvl_nr;stage_nr;part_age;part_sex;part_eye_correct;part_nearfar;part_eye_color;part_birth;part_reciding;place_on_screen(x);place_on_screen(y)
;;2/24/2025 12:38:32 PM;0.7799998;2.399998;0.4191721;0.3362808;0.2900618;0.7643121;0.4996816;0.4764015;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.008135021;1.029958;1;0;;;;;;;;-5.17;0.64
;;2/24/2025 12:38:32 PM;0.7799998;2.399998;0.4178999;0.345688;0.2900618;0.7507752;0.5088276;0.4616525;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.01330391;1.017689;1;0;;;;;;;;-3.15;-0.48
;;2/24/2025 12:38:32 PM;0.7799998;2.399998;0.4342585;0.3293295;0.2900618;0.7962586;0.479873;0.4745964;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.009830605;1.043814;1;0;;;;;;;;1.24;3.69
;;2/24/2025 12:38:32 PM;0.7799998;2.399998;0.4157524;0.3362808;0.2900618;0.7589741;0.5025454;0.4794714;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.01155481;1.028828;1;0;;;;;;;;1.08;0.14
;;2/24/2025 12:38:32 PM;0.7799998;2.399998;0.4318844;0.3317035;0.2900618;0.7895985;0.4843925;0.4726672;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.00647325;1.03996;1;0;;;;;;;;-9.03;-2.37
;;2/24/2025 12:38:32 PM;0.7799998;2.399998;0.4273072;0.324726;0.2900618;0.7917384;0.4814464;0.4889705;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.01155481;1.047727;1;0;;;;;;;;-4.96;3.7
;;2/24/2025 12:38:32 PM;0.7799998;2.399998;0.4273072;0.3229769;0.2900618;0.7940566;0.4796285;0.492026;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.01330391;1.050076;1;0;;;;;;;;-4.639999;-3.23
;;2/24/2025 12:38:33 PM;0.14;1.12;0.4276607;0.3366343;0.2900618;0.7769097;0.4928125;0.4680661;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;True;0.0004999881;1.032249;1;0;;;;;;;;-8.97;2.29
;;2/24/2025 12:38:33 PM;0.4;2.079999;0.4208339;0.3362808;0.2900618;0.7668886;0.4982826;0.4749008;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.006473243;1.030502;1;0;;;;;;;;-5.17;0.64
;;2/24/2025 12:38:33 PM;0.4;2.079999;0.4273072;0.3478356;0.2900618;0.7625433;0.5030811;0.4493372;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.01155481;1.01807;1;0;;;;;;;;-3.15;-0.48
;;2/24/2025 12:38:33 PM;0.4;2.079999;0.4249832;0.3339568;0.2900618;0.7762129;0.4926009;0.4751092;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.003286611;1.034839;1;0;;;;;;;;1.24;3.69
;;2/24/2025 12:38:33 PM;0.4;2.079999;0.4330595;0.3305284;0.2900618;0.7928922;0.4821703;0.4736198;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.008135016;1.041865;1;0;;;;;;;;1.08;0.14
;;2/24/2025 12:38:33 PM;0.4;2.079999;0.4273072;0.3461114;0.2900618;0.7646345;0.5016048;0.4522539;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.009830594;1.020199;1;0;;;;;;;;-9.03;-2.37
